time,184.5
CO,10.452036197137437
CO2,2965.063985706603
NOx,0.9769097001906369
fuel,1.2745424020652334
HC,0.07945000386107641
noise,65.93364130434783
PMx,0.03128467586147218
speed,15.657309782608696
y,-2.1200868361084906
x,2899.470815217391
time,67896.0
CO,3846.3493205465766
CO2,1091143.54674003
NOx,359.5027696701544
fuel,469.0316039600059
HC,29.237601420876118
noise,24263.58
PMx,11.512760717021763
speed,5761.89
y,-780.1919556879245
x,1067005.26
time,184.5
CO,9.986853195088651
CO2,2829.5658602567883
NOx,0.9262079309517001
fuel,1.216266108194878
HC,0.08310892704190766
noise,65.68554347826087
PMx,0.028780795633071125
speed,15.288940217391303
y,-2.1200868361084906
x,2804.7767663043483
time,67896.0
CO,3675.1619757926237
CO2,1041280.236574498
NOx,340.8445185902256
fuel,447.5859278157151
HC,30.584085151422016
noise,24172.28
PMx,10.591332792970174
speed,5626.33
y,-780.1919556879245
x,1032157.8500000001
time,184.5
CO,10.81126341140824
CO2,2897.5317443407885
NOx,0.9496811834504588
fuel,1.2456317869214746
HC,0.07952920206771819
noise,65.83836956521739
PMx,0.02924085141213158
speed,15.488641304347825
y,-0.4240173672216983
x,2868.463451086957
time,67896.0
CO,3978.544935398232
CO2,1066291.68191741
NOx,349.48267550976885
fuel,458.39249758710264
HC,29.266746360920294
noise,24228.52
PMx,10.760633319664421
speed,5699.82
y,-156.03839113758497
x,1055594.55
time,160.5
CO,8.386995557085921
CO2,3213.009327731904
NOx,1.026453386405117
fuel,1.3801022763386812
HC,0.07572125547289434
noise,67.48706250000001
PMx,0.03400590237531881
speed,18.00475
y,-2.3997227812828092
x,2737.2765625
time,51360.0
CO,2683.8385782674945
CO2,1028162.9848742092
NOx,328.46508364963745
fuel,441.632728428378
HC,24.230801751326187
noise,21595.86
PMx,10.881888760102019
speed,5761.52
y,-767.911290010499
x,875928.5
time,160.5
CO,11.4250752485928
CO2,2970.2976892204874
NOx,0.9631364205299295
fuel,1.2765848376629851
HC,0.08175162582614501
noise,66.64453125
PMx,0.03144505787734185
speed,16.69278125
y,-0.4799445562565621
x,2593.5768125000004
time,51360.0
CO,3656.0240795496957
CO2,950495.260550556
NOx,308.20365456957745
fuel,408.50714805215523
HC,26.160520264366404
noise,21326.25
PMx,10.062418520749393
speed,5341.69
y,-153.58225800209988
x,829944.5800000001
time,160.5
CO,11.890860906707031
CO2,3085.243958362621
NOx,1.0105286942208795
fuel,1.3264816150832384
HC,0.08231214542949095
noise,66.4695
PMx,0.03313004281396353
speed,16.402
y,-0.4799445562565621
x,2540.057625
time,51360.0
CO,3805.07549014625
CO2,987278.0666760388
NOx,323.36918215068147
fuel,424.4741168266363
HC,26.339886537437103
noise,21270.239999999998
PMx,10.601613700468329
speed,5248.64
y,-153.58225800209988
x,812818.44
time,149.0
CO,9.846739599097994
CO2,2953.812427073687
NOx,0.9667628712213365
fuel,1.2687252358485936
HC,0.08436497185880801
noise,66.68912457912457
PMx,0.034786805931870564
speed,16.756835016835016
y,-2.5574625096314625
x,2376.2635690235693
time,44253.0
CO,2924.481660932104
CO2,877282.290840885
NOx,287.12857275273694
fuel,376.8113950470323
HC,25.05639664206598
noise,19806.67
PMx,10.331681361765558
speed,4976.78
y,-759.5663653605443
x,705750.28
time,149.0
CO,6.794458164078107
CO2,3317.4111175630514
NOx,1.040014237881818
fuel,1.424023586737037
HC,0.06856144721313132
noise,68.23888888888888
PMx,0.03521444485420876
speed,19.18030303030303
y,-2.5574625096314625
x,2823.5760606060608
time,44253.0
CO,2017.9540747311978
CO2,985271.1019162263
NOx,308.88422865089996
fuel,422.93500526089997
HC,20.3627498223
noise,20266.949999999997
PMx,10.4586901217
speed,5696.55
y,-759.5663653605443
x,838602.0900000001
time,149.0
CO,6.659800917980655
CO2,3246.557454229635
NOx,1.0219709288361705
fuel,1.3947250083659668
HC,0.0692691803456691
noise,68.04838383838384
PMx,0.034898240321183265
speed,18.879124579124582
y,-0.5114925019262927
x,2720.106127946128
time,44253.0
CO,1977.9608726402546
CO2,964227.5639062016
NOx,303.52536586434263
fuel,414.23332748469215
HC,20.572946562663724
noise,20210.37
PMx,10.36477737539143
speed,5607.1
y,-151.91327307210892
x,807871.52
time,152.5
CO,6.6570821888836225
CO2,3182.4095207424734
NOx,0.9983992825610747
fuel,1.3669661600521252
HC,0.06622844785451372
noise,68.0082894736842
PMx,0.03392434148522452
speed,18.8325
y,-2.5076092442849727
x,2764.531842105263
time,46360.0
CO,2023.7529854206211
CO2,967452.4943057119
NOx,303.5133818985667
fuel,415.5577126558461
HC,20.13344814777217
noise,20674.519999999997
PMx,10.312999811508252
speed,5725.08
y,-762.3132102626316
x,840417.6799999999
time,152.5
CO,8.413299287250817
CO2,2905.729540834706
NOx,0.9249761994365316
fuel,1.2482941393166642
HC,0.06777633400365152
noise,67.29016447368421
PMx,0.03150760306392392
speed,17.705657894736845
y,-1.5045655465709833
x,2597.2732236842103
time,46360.0
CO,2557.6429833242482
CO2,883341.7804137506
NOx,281.1927646287056
fuel,379.4814183522659
HC,20.604005537110062
noise,20456.21
PMx,9.57831133143287
speed,5382.52
y,-457.38792615757893
x,789571.0599999999
time,152.5
CO,8.515242635371905
CO2,3282.986262782772
NOx,1.0509020008169443
fuel,1.410330973233442
HC,0.07897956308918573
noise,67.79273026315789
PMx,0.03632603751873765
speed,18.48203947368421
y,-0.5015218488569947
x,2707.510592105263
time,46360.0
CO,2588.633761153059
CO2,998027.8238859627
NOx,319.47420824835103
fuel,428.74061586296637
HC,24.00978717911246
